CS1,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Tegacovirus,16.32,12.03,14.15,-1.81,19.3,13.73,29.58,21.35,23.32,14.05,14,11.32,49,-1.99,10.21,2.03,15.94,5.75,5.63,-10.68,2.05,22.84,4.85,5.68
Beta,Embecovirus,-9.91,-2.29,-2,3.71,-0.9,-9.65,2.09,-4.87,-7.24,14.57,-2.78,4.51,-1.99,39.69,-6.52,-7,1.65,-7.62,-1.26,4.28,8.5,-14.74,-1.89,2.43
Beta,Hibecovirus,1,4.2,-2.9,0.67,6,4.86,1,10,19,9,-2.67,-1.8,10.21,-6.52,54,27.13,32.71,29.56,4,-13,3.45,12,6.92,5
Beta,Merbecovirus,8.63,1.52,-0.65,-2.64,4.85,4.95,-1.71,11.54,16.74,5.21,-1.07,-1.17,2.03,-7,27.13,38.11,25.46,33.34,4.63,-6.1,2.36,-0.5,2.31,-2.54
Beta,Nobecovirus,6.71,10.49,4.57,4.95,9.27,10.04,6.86,16.48,20.21,13.43,3.38,4.8,15.94,1.65,32.71,25.46,47.22,27.56,7.86,-14.86,6.87,3.86,1.13,8.71
Beta,Sarbecovirus,9.18,2.28,2.84,-1.11,6.41,6.59,0.21,12.38,17.36,6.29,1.55,0.11,5.75,-7.62,29.56,33.34,27.56,39.92,5.82,-10.29,7.1,1.91,3.74,1.15
Gamma,Brangacovirus,1,3,15.1,3,7.57,15.43,6,16.67,14,11,15.67,22.6,5.63,-1.26,4,4.63,7.86,5.82,52,-11,17.36,5,5.92,10
Gamma,Cegacovirus,-5,-5.8,1,-10,-6.43,-11.57,-13,-8.67,-9.36,1,1,-4.6,-10.68,4.28,-13,-6.1,-14.86,-10.29,-11,47.22,-4.26,-10,-10.9,-18
Gamma,Igacovirus,-5.79,6.92,12.96,10.57,13.07,5.35,12.87,6.43,6.89,23.81,12.38,24.71,2.05,8.5,3.45,2.36,6.87,7.1,17.36,-4.26,51.23,-2.96,7.71,8.49
Delta,Andecovirus,20,9.8,4.9,-6.67,11.43,12.71,31,9,15.07,6,5.33,9.2,22.84,-14.74,12,-0.5,3.86,1.91,5,-10,-2.96,52,7.85,-8
Delta,Buldecovirus,-3.23,-6.95,-0.69,8.9,2.57,-2.24,4.08,0.1,6.27,7.69,-0.36,4.72,4.85,-1.89,6.92,2.31,1.13,3.74,5.92,-10.9,7.71,7.85,35.18,10.77
Delta,Herdecovirus,-10,-2.4,3.1,7.33,0,0.43,-3,6.33,2.71,8,2.67,2.8,5.68,2.43,5,-2.54,8.71,1.15,10,-18,8.49,-8,10.77,51
,,,,,,,,,,,,,,,,,,,,,,,,,
CS3,,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Alpha,Beta,Beta,Beta,Beta,Beta,Gamma,Gamma,Gamma,Delta,Delta,Delta
,,Colacovirus,Decacovirus,Duvinacovirus,Luchacovirus,Minacovirus,Minunacovirus,Myotacovirus,Nyctacovirus,Pedacovirus,Rhinacovirus,Setracovirus,Sunacovirus,Tegacovirus,Embecovirus,Hibecovirus,Merbecovirus,Nobecovirus,Sarbecovirus,Brangacovirus,Cegacovirus,Igacovirus,Andecovirus,Buldecovirus,Herdecovirus
Alpha,Colacovirus,49,7.4,8.7,4.67,5.43,11.86,14,14,13.86,14.4,7.33,5.2,7.37,17.43,12,1.71,-1.86,19.15,15,17.33,19.55,21,3.62,0
Alpha,Decacovirus,7.4,43.08,7.94,-4.87,14.4,12.34,21,9.67,17.06,10,22.13,-6.92,15.04,2.03,-4.2,-4.32,-3.89,1.23,0.8,2.73,7.03,-3.8,-10.58,-2.2
Alpha,Duvinacovirus,8.7,7.94,40.77,1.2,7.8,14.57,18.7,6.43,14.53,23.38,20.73,3.46,9.84,2.67,-4.5,-2.87,-8.89,0.55,1,6.17,6.81,6.9,-4.93,-1.6
Alpha,Luchacovirus,4.67,-4.87,1.2,39,-3.67,0.86,9.67,7.22,-3.81,-1.73,-2.78,19.27,-2.28,1,-1.67,1.97,-6.43,-2.9,0,11.22,5.58,-2,4.1,-5.67
Alpha,Minacovirus,5.43,14.4,7.8,-3.67,51.51,8.02,7,4.38,14.43,14.8,17.76,-1.63,43.38,5.04,5.43,-4.15,-3.94,-1.38,-1,2.33,6.57,-8,-8.15,-9
Alpha,Minunacovirus,11.86,12.34,14.57,0.86,8.02,40.51,19.86,10.05,27.5,17.34,15.33,4.49,7.53,9.2,-5,-6.08,-12.61,4.36,21.29,7.19,19.8,0.43,0.38,3.29
Alpha,Myotacovirus,14,21,18.7,9.67,7,19.86,51,10.33,20.36,21.2,30,-1.4,9,6.83,-1,2.08,-5,5.35,7,17.33,12.53,7,2,6
Alpha,Nyctacovirus,14,9.67,6.43,7.22,4.38,10.05,10.33,37.33,14.62,4.27,9.44,7.13,2.91,16.78,7,3.82,-1.19,9.18,4.33,11.44,9.6,6,4.54,1.33
Alpha,Pedacovirus,13.86,17.06,14.53,-3.81,14.43,27.5,20.36,14.62,46.91,19.04,18.74,8.3,12.93,10.97,-3.64,-2,-6.51,5.33,13.79,20.24,13.57,2.07,0.27,9
Alpha,Rhinacovirus,14.4,10,23.38,-1.73,14.8,17.34,21.2,4.27,19.04,45.24,19.8,8.2,13.12,7.1,2.4,-2.45,-2.37,3.46,8.4,10.67,16.15,6.4,-4.82,-2.2
Alpha,Setracovirus,7.33,22.13,20.73,-2.78,17.76,15.33,30,9.44,18.74,19.8,48.33,-4.27,20.26,2.16,2,-5.28,-5.33,5.85,1.33,3.67,7.41,-0.67,-7.9,-0.67
Alpha,Sunacovirus,5.2,-6.92,3.46,19.27,-1.63,4.49,-1.4,7.13,8.3,8.2,-4.27,49.8,-2.15,1.33,-2.6,-0.07,-2.97,-4.55,1.2,13.2,9.55,-2.2,1.97,0.8
Alpha,Tegacovirus,7.37,15.04,9.84,-2.28,43.38,7.53,9,2.91,12.93,13.12,20.26,-2.15,46.88,7.09,4.26,-7.34,-7.03,1.15,-2.05,0.37,6.36,-6.68,-14.3,-10.11
Beta,Embecovirus,17.43,2.03,2.67,1,5.04,9.2,6.83,16.78,10.97,7.1,2.16,1.33,7.09,41.7,16.57,7.4,0.55,26.42,20.04,8.86,13.08,14.09,10.49,6.96
Beta,Hibecovirus,12,-4.2,-4.5,-1.67,5.43,-5,-1,7,-3.64,2.4,2,-2.6,4.26,16.57,53,7,3,11.29,3,1.33,0.19,7,3.23,-2
Beta,Merbecovirus,1.71,-4.32,-2.87,1.97,-4.15,-6.08,2.08,3.82,-2,-2.45,-5.28,-0.07,-7.34,7.4,7,31.01,14.32,1.69,-0.83,9.75,-3.67,4.83,7.34,0.29
